rom,planner,debug-threshold,frameskip,seed,use-minimal-action-set,episodes,max-execution-length,fixed-action-sequence,features,frames-background-image,initial-noops,execute-single-action,caching,prefix-length-to-execute,simulator-budget,time-budget,alpha,discount,max-rep,nodes-threshold,novelty-subtables,random-actions,use-alpha-to-update-reward-for-death,max-depth,break-ties-using-rewards,score,frames,decisions,simulator-calls,max-simulator-calls,total-time,simulator-time,sum-expanded,sum-height,random-decisions
qbert,rollout,0,15,31915,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,50000,1,30,50000,0,0,1,1500,1,19050,18000,1200,62682,159,575.3,254.818,33705,46686,0
qbert,rollout,0,15,3919,0,1,18000,"none",1,100,30,1,1,0,150000,1,50000,1,30,50000,1,0,1,1500,1,5275,5265,351,79823,286,347.648,325.805,14450,7972,0
qbert,bfs,0,15,28039,0,1,18000,"none",3,100,30,1,1,0,150000,32,50000,1,30,50000,0,0,1,1500,1,31450,18000,1200,5344377,7033,38439,21736,197853,13465,0
qbert,bfs,0,15,17258,0,1,18000,"none",3,100,30,1,1,0,150000,1,50000,1,30,50000,1,0,1,1500,1,475,1605,107,14319,213,109.168,56.9321,1050,475,0
qbert,rollout,0,15,26777,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,50000,1,30,50000,0,0,1,1500,1,11575,13035,869,47933,153,444.212,191.694,28536,37091,0
qbert,bfs,0,15,28987,0,1,18000,"none",3,100,30,1,1,0,150000,1,50000,1,30,50000,0,0,1,1500,1,725,1830,122,15591,179,123.96,62.8762,1199,535,0
qbert,bfs,0,15,12417,0,1,18000,"none",3,100,30,1,1,0,150000,32,50000,1,30,50000,0,0,1,1500,1,29100,18000,1200,5341646,6952,38442.4,21554.5,199731,14021,0
qbert,rollout,0,15,6714,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,50000,1,30,50000,1,0,1,1500,1,17500,16515,1101,77434,190,807.784,309.232,43568,47978,0
qbert,rollout,0,15,22650,0,1,18000,"none",1,100,30,1,1,0,150000,32,50000,1,30,50000,1,0,1,1500,1,23425,18000,1200,8091627,11136,37245.2,35062.4,561867,63650,0
qbert,bfs,0,15,26830,0,1,18000,"none",3,100,30,1,1,0,150000,1,50000,1,30,50000,1,0,1,1500,1,1300,2505,167,20945,175,171.664,84.1079,1761,694,0
qbert,rollout,0,15,12254,0,1,18000,"none",1,100,30,1,1,0,150000,0.25,50000,1,30,50000,1,0,1,1500,1,5225,5190,346,29115,144,127.916,119.572,19445,23352,0
qbert,bfs,0,15,18248,0,1,18000,"none",3,100,30,1,1,0,150000,32,50000,1,30,50000,1,0,1,1500,1,32200,18000,1200,5293864,6869,38479.1,21548.1,203694,13323,0
qbert,rollout,0,15,2196,0,1,18000,"none",1,100,30,1,1,0,150000,0.25,50000,1,30,50000,1,0,1,1500,1,1075,2910,194,16028,145,68.208,63.868,8614,9313,0
qbert,rollout,0,15,2008,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,50000,1,30,50000,1,0,1,1500,1,15325,14400,960,46560,191,484.916,184.332,25800,35392,0
qbert,rollout,0,15,4713,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,50000,1,30,50000,0,0,1,1500,1,3000,8160,544,26163,156,247.636,106.216,15616,19148,0
