rom,planner,debug-threshold,frameskip,seed,use-minimal-action-set,episodes,max-execution-length,fixed-action-sequence,features,frames-background-image,initial-noops,execute-single-action,caching,prefix-length-to-execute,simulator-budget,time-budget,alpha,discount,max-rep,nodes-threshold,novelty-subtables,random-actions,use-alpha-to-update-reward-for-death,max-depth,break-ties-using-rewards,score,frames,decisions,simulator-calls,max-simulator-calls,total-time,simulator-time,sum-expanded,sum-height,random-decisions
qbert,rollout,0,15,12068,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,1,1,30,50000,0,1,0,1500,1,1400,3315,221,23541,209,185.752,92.7039,13205,16531,6
qbert,bfs,0,15,30130,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,5725,4095,273,1100408,6804,8619.04,4529.34,50808,3458,67
qbert,rollout,0,15,2156,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,1,1,30,50000,0,1,0,1500,1,1575,3195,213,18713,221,143.28,74.5925,8947,13831,31
qbert,bfs,0,15,19598,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,725,1230,82,9529,163,82.252,37.8645,937,406,41
qbert,bfs,0,15,2759,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,24275,12675,845,6312697,13172,26463.5,15632.4,193909,11498,42
qbert,rollout,0,15,32710,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,1,1,30,50000,0,1,0,1500,1,1575,3555,237,15929,161,124.348,64.1763,6669,11233,8
qbert,bfs,0,15,24830,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,550,1875,125,6696,88,66.1,26.068,983,436,79
qbert,bfs,0,15,8838,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,475,1380,92,5190,78,48.652,20.1958,752,338,53
qbert,bfs,0,15,26847,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,21675,11445,763,3243061,7211,24411.3,12994.6,131710,8509,108
qbert,rollout,0,15,4989,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,1575,3255,217,35517,281,289.172,142.22,16384,16456,27
qbert,rollout,0,15,25981,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,1825,3765,251,27084,230,216.74,108.94,12664,16670,24
qbert,rollout,0,15,25153,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,16350,12330,822,3154030,5912,26369.2,10691.3,429651,55660,6
qbert,rollout,0,15,22644,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,1275,2790,186,24170,333,214.9,97.2599,12177,8017,66
qbert,bfs,0,15,7656,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,25800,14115,941,7718110,12713,30010.5,17848.1,257880,12923,88
qbert,rollout,0,15,24541,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,1350,3000,200,18747,201,153.968,75.2841,9412,10014,2
qbert,bfs,0,15,9036,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,350,1605,107,6355,90,55.948,24.2441,848,387,75
qbert,bfs,0,15,24957,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,1,1,0,1500,1,250,1485,99,6119,97,52.66,22.4239,724,408,78
qbert,rollout,0,15,14475,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,1475,3375,225,729452,3835,7186.56,3057.95,86176,13772,5
qbert,bfs,0,15,27302,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,1,1,0,1500,1,675,1335,89,5104,79,47.604,19.7161,713,324,58
qbert,bfs,0,15,20912,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,425,1530,102,11835,194,103.268,47.1679,1165,547,66
qbert,bfs,0,15,13497,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,5050,3855,257,1033702,6380,8106.47,4246.88,45426,3028,64
qbert,rollout,0,15,20284,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,1925,3435,229,35551,301,312.236,151.621,17187,15849,12
qbert,rollout,0,15,23403,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,1600,3300,220,732049,3963,7050.4,2933.1,91593,14224,2
qbert,rollout,0,15,27556,0,1,18000,"none",3,100,30,1,1,0,150000,32,1,1,30,50000,0,1,0,1500,1,10775,8670,578,2136185,4758,18577.5,7484.94,315831,43848,3
qbert,bfs,0,15,22560,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,1,1,0,1500,1,400,1500,100,5676,84,53.364,21.5242,721,392,64
qbert,rollout,0,15,23375,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,5425,4980,332,36025,263,283.984,142.979,17233,23842,7
qbert,rollout,0,15,14551,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,6775,6075,405,37128,192,317.236,147.857,20069,20639,39
qbert,bfs,0,15,1122,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,700,1980,132,14584,170,133.984,58.8442,1523,689,94
qbert,bfs,0,15,5989,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,0,1,0,1500,1,800,2385,159,8536,74,84.232,33.2596,1423,541,116
qbert,bfs,0,15,20190,0,1,18000,"none",3,100,30,1,1,0,150000,0.5,1,1,30,50000,1,1,0,1500,1,725,1770,118,6410,82,63.536,25.0399,1059,414,83
qbert,rollout,0,15,6654,0,1,18000,"none",3,100,30,1,1,0,150000,1,1,1,30,50000,0,1,0,1500,1,1900,3195,213,30906,335,271.896,123.188,16648,12816,25
qbert,rollout,0,15,21742,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,1,1,30,50000,0,1,0,1500,1,2025,3975,265,17184,185,144.648,72.0364,7487,11720,9
qbert,rollout,0,15,25830,0,1,18000,"none",3,100,30,1,1,0,150000,0.25,1,1,30,50000,0,1,0,1500,1,1900,3450,230,25594,234,200.5,104.08,12895,16985,26
