rom,avg,stdev,best.avg,best.stdev,middle.avg,middle.stdev,perc.trials.best.dqn,dqn.avg,dqn.stdev,human.score,random.score
asterix,4400.8,1201.3,6921.5,4501.2,4472.9,2514.8,8.3,6012.0,1744.0,8503.0,210.0
beam rider,1902.3,423.9,2965.5,1376.1,1807.6,657.0,0.0,6846.0,1619.0,5775.0,363.9
breakout,46.7,45.7,190.3,179.7,33.2,21.3,0.0,401.2,26.9,31.8,1.7
enduro,257.0,79.8,299.1,26.9,279.2,28.2,0.0,301.8,24.6,309.6,0.0
freeway,31.5,1.2,32.6,1.0,31.7,1.0,95.8,30.3,0.7,29.6,0.0
pong,20.1,0.5,20.5,0.8,20.2,1.4,95.8,18.9,1.3,9.3,-20.7
qbert,6946.8,3036.4,14449.4,4111.7,5881.4,1069.0,12.5,10596.0,3294.0,13455.0,163.9
seaquest,1664.2,440.4,2278.0,294.1,1845.1,469.8,0.0,5286.0,1310.0,20182.0,68.4
space invaders,723.1,101.5,889.8,374.5,712.9,250.3,0.0,1976.0,893.0,1652.0,148.0
alien,4154.8,532.5,4886.6,1151.9,4219.1,635.4,95.8,3069.0,1093.0,6875.0,227.8
amidar,486.7,195.4,825.4,225.3,522.3,153.1,12.5,739.5,3024.0,1676.0,5.8
assault,1356.0,299.6,1829.3,702.9,1380.8,449.9,0.0,3359.0,775.0,1496.0,224.4
asteroids,1673.5,211.1,2229.9,937.0,1635.1,617.9,50.0,1629.0,542.0,13157.0,719.1
atlantis,19347.2,10478.5,42937.7,13763.1,19983.2,5830.4,0.0,85641.0,17600.0,29028.0,12850.0
bank heist,463.4,93.6,793.6,102.9,455.1,100.9,62.5,429.7,650.0,734.4,14.2
battle zone,26222.8,4070.0,37850.0,7445.0,25836.0,6616.3,41.7,26300.0,7725.0,37800.0,2360.0
bowling,59.1,18.6,91.1,13.6,62.0,2.5,91.7,42.4,88.0,154.8,23.1
boxing,89.4,16.5,98.3,3.3,95.8,5.5,87.5,71.8,8.4,4.3,0.1
centipede,3903.3,6838.8,21137.0,6722.8,426.7,313.8,20.8,8309.0,5237.0,11963.0,2091.0
chopper command,2998.0,763.1,4898.9,2511.2,2998.0,1197.7,0.0,6687.0,2916.0,9882.0,811.0
crazy climber,59514.3,13721.0,81016.0,26529.2,59848.9,27960.7,0.0,114103.0,22797.0,35411.0,10781.0
demon attack,1745.8,256.0,2166.0,1327.5,1774.2,979.8,0.0,9711.0,2406.0,3401.0,152.1
double dunk,-6.4,0.9,-4.1,2.3,-6.2,2.8,100.0,-18.1,2.6,-15.5,-18.6
fishing derby,-58.8,12.0,-28.7,19.0,-57.4,18.3,0.0,-0.8,19.0,5.5,-91.7
frostbite,3389.7,743.6,4534.0,1496.8,3557.5,864.3,100.0,328.3,250.5,4335.0,65.2
gopher,5076.6,1235.1,7451.1,3146.1,5006.9,3118.9,0.0,8520.0,32.8,2321.0,257.6
gravitar,1231.8,423.4,1709.7,669.7,1390.6,752.9,91.7,306.7,223.9,2672.0,173.0
hero,13690.3,4291.2,20273.1,1155.1,13642.1,48.4,12.5,19950.0,158.0,25673.0,1027.0
ice hockey,14.5,3.4,22.8,6.5,14.5,5.5,100.0,-1.6,2.5,0.9,-11.2
james bond,636.3,191.8,1030.5,947.1,587.8,99.5,50.0,576.7,175.5,406.7,29.0
kangaroo,3800.3,2211.0,9492.8,2918.2,3839.1,1601.1,8.3,6740.0,2959.0,3035.0,52.0
krull,8333.9,5599.5,33263.4,15403.3,7463.9,1719.7,95.8,3805.0,1033.0,2395.0,1598.0
kung fu master,34075.6,7716.7,51007.6,9131.9,33232.1,7904.5,91.7,23270.0,5955.0,22736.0,258.5
montezuma revenge,778.1,789.8,2508.4,27.8,400.0,0.0,100.0,0.0,0.0,4367.0,0.0
ms pacman,4625.6,774.3,5917.9,1984.0,4667.4,2126.0,100.0,2311.0,525.0,15693.0,307.3
name this game,5883.7,1542.1,7787.0,744.7,6387.1,1046.7,20.8,7257.0,547.0,4076.0,2292.0
private eye,33.0,47.6,100.3,4.0,0.0,0.0,0.0,1788.0,5473.0,69571.0,24.9
riverraid,10629.1,2110.5,14583.3,3078.3,9540.4,1053.8,91.7,8316.0,1049.0,13513.0,1339.0
road runner,24572.3,12381.1,41828.0,9408.1,28848.5,6857.4,75.0,18257.0,4268.0,7845.0,11.5
robotank,28.3,2.7,34.4,7.7,28.5,8.0,0.0,51.6,4.7,11.9,2.2
star gunner,1227.7,165.1,1651.6,435.4,1180.0,85.2,0.0,57997.0,3152.0,10250.0,664.0
tennis,0.0,0.0,0.0,0.2,0.0,0.2,100.0,-2.5,1.9,-8.9,-23.8
time pilot,3933.1,713.9,5429.5,1659.7,4069.3,647.7,0.0,5947.0,1600.0,5925.0,3568.0
tutankham,61.2,61.3,217.7,33.9,41.7,4.2,8.3,186.7,41.9,167.7,11.4
up n down,12197.0,14027.3,41257.8,12061.8,3716.7,1050.8,45.8,8456.0,3162.0,9082.0,533.4
venture,244.5,490.4,1397.0,294.4,0.0,0.0,20.8,380.0,238.6,1188.0,0.0
video pinball,10006.3,5860.8,21313.0,14916.4,9480.7,6563.1,0.0,42684.0,16287.0,17298.0,16257.0
wizard of wor,3174.8,1227.9,5681.2,4573.2,3442.9,2582.0,50.0,3393.0,2019.0,4757.0,563.5
zaxxon,8204.4,2845.3,11721.8,4009.7,9280.0,2251.4,87.5,4977.0,1235.0,9173.0,32.5
